"PUBLICACAO","DECRETO","INDICE","CLASSIFICACAO",".","D_1_Rt","D_1_Rt_025","D_1_Rt_975","D_10_Rt","D_10_Rt_025","D_10_Rt_975","D_11_Rt","D_11_Rt_025","D_11_Rt_975","D_12_Rt","D_12_Rt_025","D_12_Rt_975","D_13_Rt","D_13_Rt_025","D_13_Rt_975","D_14_Rt","D_14_Rt_025","D_14_Rt_975","D_2_Rt","D_2_Rt_025","D_2_Rt_975","D_3_Rt","D_3_Rt_025","D_3_Rt_975","D_4_Rt","D_4_Rt_025","D_4_Rt_975","D_5_Rt","D_5_Rt_025","D_5_Rt_975","D_6_Rt","D_6_Rt_025","D_6_Rt_975","D_7_Rt","D_7_Rt_025","D_7_Rt_975","D_8_Rt","D_8_Rt_025","D_8_Rt_975","D_9_Rt","D_9_Rt_025","D_9_Rt_975","ANALISE","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","D13","D14"
"2020-04-22",21478,0.2692,"Aumenta medidas de distanciamento",".",1.84,1.266,2.518,1.236,0.807,1.754,0.857,0.516,1.284,0.742,0.432,1.134,0.858,0.524,1.273,0.884,0.547,1.301,1.12,0.684,1.661,1.075,0.647,1.61,0.97,0.565,1.482,1.262,0.8,1.827,0.933,0.553,1.411,0.75,0.42,1.174,0.797,0.456,1.232,0.895,0.531,1.354,"Consonante","1.84 (1.266-2.518)","1.12 (0.684-1.661)","1.075 (0.647-1.61)","0.97 (0.565-1.482)","1.262 (0.8-1.827)","0.933 (0.553-1.411)","0.75 (0.42-1.174)","0.797 (0.456-1.232)","0.895 (0.531-1.354)","1.236 (0.807-1.754)","0.857 (0.516-1.284)","0.742 (0.432-1.134)","0.858 (0.524-1.273)","0.884 (0.547-1.301)"
"2020-04-27",21506,0.2692,"Mantem medidas de distanciamento",".",0.457,0.236,0.75,1.262,0.8,1.828,0.933,0.553,1.411,0.75,0.42,1.174,0.797,0.456,1.233,0.896,0.531,1.355,0.577,0.323,0.903,0.931,0.584,1.359,1.284,0.839,1.823,2.182,1.559,2.908,1.84,1.266,2.518,1.12,0.684,1.661,1.075,0.648,1.61,0.97,0.565,1.482,"Dissonante","0.457 (0.236-0.75)","0.577 (0.323-0.903)","0.931 (0.584-1.359)","1.284 (0.839-1.823)","2.182 (1.559-2.908)","1.84 (1.266-2.518)","1.12 (0.684-1.661)","1.075 (0.648-1.61)","0.97 (0.565-1.482)","1.262 (0.8-1.828)","0.933 (0.553-1.411)","0.75 (0.42-1.174)","0.797 (0.456-1.233)","0.896 (0.531-1.355)"
"2020-05-11",21546,0.2308,"Flexibiliza medidas de distanciamento",".",0.955,0.566,1.444,0.512,0.221,0.922,0.832,0.455,1.321,0.896,0.522,1.37,0.598,0.319,0.965,0.57,0.312,0.906,1.081,0.641,1.635,1.229,0.703,1.901,2.955,2.021,4.064,2.718,1.834,3.773,1.161,0.635,1.843,0.469,0.172,0.912,0.802,0.401,1.342,0.943,0.516,1.497,"Dissonante","0.955 (0.566-1.444)","1.081 (0.641-1.635)","1.229 (0.703-1.901)","2.955 (2.021-4.064)","2.718 (1.834-3.773)","1.161 (0.635-1.843)","0.469 (0.172-0.912)","0.802 (0.401-1.342)","0.943 (0.516-1.497)","0.512 (0.221-0.922)","0.832 (0.455-1.321)","0.896 (0.522-1.37)","0.598 (0.319-0.965)","0.57 (0.312-0.906)"
"2020-05-13",21559,0.3846,"Aumenta medidas de distanciamento",".",0.634,0.327,1.039,0.802,0.401,1.342,0.943,0.516,1.497,0.512,0.221,0.923,0.832,0.455,1.321,0.897,0.522,1.371,0.517,0.248,0.883,0.955,0.566,1.444,1.081,0.641,1.635,1.229,0.703,1.901,2.955,2.021,4.064,2.718,1.834,3.773,1.161,0.635,1.843,0.469,0.172,0.912,"Consonante","0.634 (0.327-1.039)","0.517 (0.248-0.883)","0.955 (0.566-1.444)","1.081 (0.641-1.635)","1.229 (0.703-1.901)","2.955 (2.021-4.064)","2.718 (1.834-3.773)","1.161 (0.635-1.843)","0.469 (0.172-0.912)","0.802 (0.401-1.342)","0.943 (0.516-1.497)","0.512 (0.221-0.923)","0.832 (0.455-1.321)","0.897 (0.522-1.371)"
"2020-05-15",21569,0.2308,"Flexibiliza medidas de distanciamento",".",2.443,1.737,3.267,1.161,0.635,1.843,0.469,0.172,0.912,0.803,0.401,1.342,0.943,0.516,1.498,0.512,0.221,0.923,1.311,0.831,1.898,0.634,0.327,1.039,0.517,0.248,0.883,0.955,0.566,1.444,1.081,0.641,1.635,1.229,0.703,1.901,2.955,2.021,4.064,2.718,1.834,3.774,"Dissonante","2.443 (1.737-3.267)","1.311 (0.831-1.898)","0.634 (0.327-1.039)","0.517 (0.248-0.883)","0.955 (0.566-1.444)","1.081 (0.641-1.635)","1.229 (0.703-1.901)","2.955 (2.021-4.064)","2.718 (1.834-3.774)","1.161 (0.635-1.843)","0.469 (0.172-0.912)","0.803 (0.401-1.342)","0.943 (0.516-1.498)","0.512 (0.221-0.923)"
"2020-05-26",21603,0.2308,"Mantem medidas de distanciamento",".",0.903,0.6,1.267,1.429,0.942,2.017,2.184,1.521,2.965,2.443,1.737,3.268,1.311,0.831,1.899,0.634,0.328,1.04,0.973,0.647,1.365,1.341,0.929,1.828,1.664,1.172,2.241,1.945,1.402,2.576,1.529,1.071,2.068,0.744,0.448,1.114,0.434,0.217,0.725,0.877,0.536,1.301,"Dissonante","0.903 (0.6-1.267)","0.973 (0.647-1.365)","1.341 (0.929-1.828)","1.664 (1.172-2.241)","1.945 (1.402-2.576)","1.529 (1.071-2.068)","0.744 (0.448-1.114)","0.434 (0.217-0.725)","0.877 (0.536-1.301)","1.429 (0.942-2.017)","2.184 (1.521-2.965)","2.443 (1.737-3.268)","1.311 (0.831-1.899)","0.634 (0.328-1.04)"
"2020-05-27",21609,0.2308,"Mantem medidas de distanciamento",".",1.141,0.799,1.543,0.877,0.536,1.301,1.429,0.942,2.017,2.184,1.521,2.965,2.444,1.738,3.268,1.311,0.831,1.899,0.903,0.6,1.267,0.973,0.647,1.365,1.341,0.929,1.828,1.664,1.172,2.241,1.945,1.402,2.576,1.529,1.071,2.068,0.744,0.448,1.114,0.434,0.217,0.725,"Dissonante","1.141 (0.799-1.543)","0.903 (0.6-1.267)","0.973 (0.647-1.365)","1.341 (0.929-1.828)","1.664 (1.172-2.241)","1.945 (1.402-2.576)","1.529 (1.071-2.068)","0.744 (0.448-1.114)","0.434 (0.217-0.725)","0.877 (0.536-1.301)","1.429 (0.942-2.017)","2.184 (1.521-2.965)","2.444 (1.738-3.268)","1.311 (0.831-1.899)"
"2020-06-02",21620,0.1923,"Flexibiliza medidas de distanciamento",".",1.105,0.818,1.435,1.341,0.929,1.828,1.664,1.172,2.241,1.945,1.402,2.576,1.529,1.071,2.068,0.744,0.448,1.114,1.174,0.863,1.533,1.546,1.165,1.981,1.81,1.378,2.301,1.572,1.163,2.041,1.319,0.947,1.752,1.141,0.799,1.543,0.903,0.6,1.267,0.973,0.647,1.365,"Dissonante","1.105 (0.818-1.435)","1.174 (0.863-1.533)","1.546 (1.165-1.981)","1.81 (1.378-2.301)","1.572 (1.163-2.041)","1.319 (0.947-1.752)","1.141 (0.799-1.543)","0.903 (0.6-1.267)","0.973 (0.647-1.365)","1.341 (0.929-1.828)","1.664 (1.172-2.241)","1.945 (1.402-2.576)","1.529 (1.071-2.068)","0.744 (0.448-1.114)"
"2020-06-04",21627,0.2692,"Aumenta medidas de distanciamento",".",1.518,1.19,1.886,0.903,0.6,1.267,0.973,0.647,1.365,1.341,0.929,1.828,1.664,1.172,2.241,1.945,1.402,2.576,1.237,0.94,1.576,1.105,0.818,1.435,1.174,0.863,1.533,1.546,1.165,1.981,1.81,1.378,2.301,1.572,1.163,2.041,1.319,0.947,1.752,1.141,0.799,1.543,"Consonante","1.518 (1.19-1.886)","1.237 (0.94-1.576)","1.105 (0.818-1.435)","1.174 (0.863-1.533)","1.546 (1.165-1.981)","1.81 (1.378-2.301)","1.572 (1.163-2.041)","1.319 (0.947-1.752)","1.141 (0.799-1.543)","0.903 (0.6-1.267)","0.973 (0.647-1.365)","1.341 (0.929-1.828)","1.664 (1.172-2.241)","1.945 (1.402-2.576)"
"2020-06-08",21635,0.2692,"Mantem medidas de distanciamento",".",1.514,1.237,1.819,1.81,1.378,2.301,1.572,1.163,2.041,1.319,0.947,1.753,1.142,0.8,1.544,0.903,0.6,1.267,1.999,1.657,2.372,1.827,1.484,2.207,1.727,1.382,2.111,1.518,1.19,1.886,1.237,0.94,1.576,1.105,0.818,1.435,1.174,0.863,1.533,1.546,1.165,1.981,"Dissonante","1.514 (1.237-1.819)","1.999 (1.657-2.372)","1.827 (1.484-2.207)","1.727 (1.382-2.111)","1.518 (1.19-1.886)","1.237 (0.94-1.576)","1.105 (0.818-1.435)","1.174 (0.863-1.533)","1.546 (1.165-1.981)","1.81 (1.378-2.301)","1.572 (1.163-2.041)","1.319 (0.947-1.753)","1.142 (0.8-1.544)","0.903 (0.6-1.267)"
"2020-06-16",21652,0.3077,"Aumenta medidas de distanciamento",".",1.087,0.879,1.316,1.999,1.657,2.372,1.828,1.484,2.207,1.728,1.382,2.111,1.518,1.19,1.886,1.238,0.94,1.576,1.219,0.997,1.463,1.096,0.885,1.33,0.991,0.79,1.216,1.18,0.961,1.42,1.023,0.824,1.244,0.786,0.612,0.982,0.769,0.588,0.974,1.514,1.237,1.819,"Consonante","1.087 (0.879-1.316)","1.219 (0.997-1.463)","1.096 (0.885-1.33)","0.991 (0.79-1.216)","1.18 (0.961-1.42)","1.023 (0.824-1.244)","0.786 (0.612-0.982)","0.769 (0.588-0.974)","1.514 (1.237-1.819)","1.999 (1.657-2.372)","1.828 (1.484-2.207)","1.728 (1.382-2.111)","1.518 (1.19-1.886)","1.238 (0.94-1.576)"
"2020-06-22",21673,0.3077,"Mantem medidas de distanciamento",".",1.745,1.533,1.971,0.991,0.79,1.216,1.18,0.961,1.42,1.023,0.824,1.244,0.786,0.612,0.982,0.769,0.589,0.974,1.737,1.513,1.977,1.563,1.337,1.805,1.791,1.536,2.065,1.747,1.489,2.026,1.401,1.167,1.657,1.087,0.879,1.316,1.219,0.997,1.463,1.096,0.885,1.33,"Dissonante","1.745 (1.533-1.971)","1.737 (1.513-1.977)","1.563 (1.337-1.805)","1.791 (1.536-2.065)","1.747 (1.489-2.026)","1.401 (1.167-1.657)","1.087 (0.879-1.316)","1.219 (0.997-1.463)","1.096 (0.885-1.33)","0.991 (0.79-1.216)","1.18 (0.961-1.42)","1.023 (0.824-1.244)","0.786 (0.612-0.982)","0.769 (0.589-0.974)"
"2020-06-29",21691,0.2692,"Flexibiliza medidas de distanciamento",".",0.948,0.831,1.073,1.563,1.337,1.805,1.791,1.536,2.065,1.747,1.489,2.027,1.402,1.168,1.657,1.087,0.879,1.316,1.068,0.94,1.204,1.24,1.098,1.39,1.269,1.12,1.427,1.407,1.244,1.579,1.454,1.281,1.638,1.384,1.206,1.575,1.745,1.533,1.971,1.737,1.513,1.977,"Dissonante","0.948 (0.831-1.073)","1.068 (0.94-1.204)","1.24 (1.098-1.39)","1.269 (1.12-1.427)","1.407 (1.244-1.579)","1.454 (1.281-1.638)","1.384 (1.206-1.575)","1.745 (1.533-1.971)","1.737 (1.513-1.977)","1.563 (1.337-1.805)","1.791 (1.536-2.065)","1.747 (1.489-2.027)","1.402 (1.168-1.657)","1.087 (0.879-1.316)"
"2020-06-30",21692,0.2692,"Mantem medidas de distanciamento",".",0.922,0.808,1.044,1.738,1.514,1.977,1.563,1.337,1.805,1.791,1.536,2.065,1.748,1.489,2.027,1.402,1.168,1.657,0.948,0.831,1.073,1.068,0.94,1.204,1.24,1.098,1.39,1.269,1.12,1.427,1.407,1.244,1.579,1.454,1.281,1.638,1.384,1.206,1.575,1.745,1.533,1.971,"Dissonante","0.922 (0.808-1.044)","0.948 (0.831-1.073)","1.068 (0.94-1.204)","1.24 (1.098-1.39)","1.269 (1.12-1.427)","1.407 (1.244-1.579)","1.454 (1.281-1.638)","1.384 (1.206-1.575)","1.745 (1.533-1.971)","1.738 (1.514-1.977)","1.563 (1.337-1.805)","1.791 (1.536-2.065)","1.748 (1.489-2.027)","1.402 (1.168-1.657)"
"2020-07-06",21713,0.2308,"Flexibiliza medidas de distanciamento",".",1.019,0.895,1.151,1.24,1.098,1.39,1.269,1.121,1.427,1.407,1.244,1.579,1.455,1.281,1.638,1.384,1.206,1.575,1.007,0.884,1.138,0.992,0.87,1.121,0.976,0.856,1.103,0.956,0.839,1.082,0.943,0.827,1.066,0.922,0.808,1.044,0.948,0.831,1.073,1.068,0.94,1.204,"Dissonante","1.019 (0.895-1.151)","1.007 (0.884-1.138)","0.992 (0.87-1.121)","0.976 (0.856-1.103)","0.956 (0.839-1.082)","0.943 (0.827-1.066)","0.922 (0.808-1.044)","0.948 (0.831-1.073)","1.068 (0.94-1.204)","1.24 (1.098-1.39)","1.269 (1.121-1.427)","1.407 (1.244-1.579)","1.455 (1.281-1.638)","1.384 (1.206-1.575)"
"2020-07-10",21729,0.2308,"Mantem medidas de distanciamento",".",1.032,0.908,1.164,0.943,0.827,1.066,0.922,0.808,1.044,0.948,0.831,1.074,1.068,0.94,1.204,1.24,1.098,1.391,1.029,0.905,1.161,1.03,0.905,1.162,1.028,0.903,1.16,1.019,0.895,1.151,1.007,0.884,1.138,0.992,0.87,1.121,0.976,0.856,1.103,0.956,0.839,1.082,"Dissonante","1.032 (0.908-1.164)","1.029 (0.905-1.161)","1.03 (0.905-1.162)","1.028 (0.903-1.16)","1.019 (0.895-1.151)","1.007 (0.884-1.138)","0.992 (0.87-1.121)","0.976 (0.856-1.103)","0.956 (0.839-1.082)","0.943 (0.827-1.066)","0.922 (0.808-1.044)","0.948 (0.831-1.074)","1.068 (0.94-1.204)","1.24 (1.098-1.391)"
